,CH,CU,FC,FF,SI,batter,stand_L,home_team,balls,strikes,on_3b,on_2b,on_1b,outs_when_up,inning,at_bat_number,pitch_number,bat_score,fld_score,prev_CH,prev_CU,prev_FC,prev_FF,prev_SI,ball,blocked_ball,called_strike,foul,foul_bunt,foul_tip,hit_by_pitch,hit_into_play,hit_into_play_no_out,hit_into_play_score,missed_bunt,swinging_strike,swinging_strike_blocked,release_speed,zone,pfx_x,pfx_z,plate_x,plate_z
85,0,0,0,1,0,553993,0,0,3,1,0,1,0,0,2,13,5,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,90.6,2.0,0.42249166666666654,0.7762,0.06,3.64
86,0,0,1,0,0,553993,0,0,2,1,0,1,0,0,2,13,4,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,89.6,11.0,0.1733833333333333,1.233433333333333,-1.1,3.4
87,0,0,1,0,0,553993,0,0,1,1,0,1,0,0,2,13,3,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,93.1,6.0,0.9081833333333332,1.3882333333333332,0.48,2.55
88,0,0,0,1,0,553993,0,0,1,0,0,0,1,0,2,13,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,92.6,12.0,1.5636583333333332,1.0700333333333332,2.56,3.76
89,0,0,0,0,1,553993,0,0,0,0,0,0,1,0,2,13,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,91.6,9.0,1.2129583333333331,0.7002333333333332,0.65,2.27
90,0,0,0,0,1,592731,0,0,1,1,0,0,0,0,2,12,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,91.8,14.0,1.2950666666666668,1.0041,1.27,2.1
91,0,0,0,0,1,592731,0,0,0,1,0,0,0,0,2,12,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,91.2,8.0,0.7912833333333331,1.6605666666666667,0.13,1.58
92,0,0,0,1,0,592731,0,0,0,0,0,0,0,0,2,12,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,92.9,5.0,0.8330333333333331,1.4642,0.07,2.43
93,0,0,0,1,0,594807,0,0,1,2,0,0,0,2,1,8,4,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,77.4,13.0,-0.70615,-0.488,-1.77,-0.03
94,0,1,0,0,0,594807,0,0,0,2,0,0,0,2,1,8,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,91.1,13.0,0.21791666666666665,1.048533333333333,-1.13,1.64
95,0,0,0,1,0,594807,0,0,0,1,0,0,0,2,1,8,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,76.1,4.0,-0.4709583333333332,-0.5224,-0.45,2.4
96,0,1,0,0,0,594807,0,0,0,0,0,0,0,2,1,8,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,88.7,7.0,0.09266666666666663,0.9281333333333333,-0.69,1.84
97,0,0,1,0,0,458015,1,0,1,1,1,0,0,1,1,7,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,93.6,7.0,0.942975,1.5616666666666668,-0.8,2.0
98,0,0,0,1,0,458015,1,0,1,0,1,0,0,1,1,7,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,92.2,13.0,1.3757833333333331,0.7260333333333332,-0.3,0.9
99,0,0,0,0,1,458015,1,0,0,0,1,0,0,1,1,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,85.2,14.0,1.4300583333333332,0.63,0.66,0.64
100,1,0,0,0,0,474443,0,0,3,2,0,1,0,0,1,6,7,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,93.6,14.0,0.8121583333333333,1.2936333333333332,2.02,2.49
101,0,0,0,1,0,474443,0,0,2,2,0,1,0,0,1,6,6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,90.1,13.0,0.2930666666666666,0.888,-0.89,1.74
102,0,0,0,0,1,474443,0,0,2,2,0,1,0,0,1,6,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,94.1,13.0,0.6326333333333332,1.5229666666666668,-1.53,2.42
103,0,0,0,1,0,474443,0,0,1,2,0,0,1,0,1,6,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,92.8,6.0,0.859475,1.7480000000000002,0.79,2.46
104,0,0,0,1,0,474443,0,0,1,1,0,0,1,0,1,6,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,92.3,14.0,0.8887,1.6448,1.15,2.22
105,0,0,0,1,0,474443,0,0,0,1,0,0,1,0,1,6,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,92.0,5.0,0.6785583333333332,1.6147,-0.22,2.77
106,0,0,0,1,0,474443,0,0,0,0,0,0,1,0,1,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,77.5,13.0,-0.7868666666666666,-0.09813333333333332,-3.16,-1.42
107,0,1,0,0,0,606299,0,0,1,2,0,0,0,0,1,5,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,93.0,14.0,1.0877083333333333,1.3581333333333332,1.95,1.99
108,0,0,0,0,1,606299,0,0,0,2,0,0,0,0,1,5,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,90.0,4.0,0.16225,0.8364,-0.6,2.52
109,0,0,1,0,0,606299,0,0,0,1,0,0,0,0,1,5,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,92.4,7.0,0.8664333333333331,1.3739,-0.51,1.89
110,0,1,0,0,0,576397,0,1,3,2,0,0,1,2,7,51,6,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,76.0,14.0,-1.161225,-0.3074,0.516,1.277
111,0,1,0,0,0,576397,0,1,2,2,0,0,1,2,7,51,5,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,93.4,14.0,0.517125,1.8225333333333331,1.905,1.943
112,0,0,0,1,0,576397,0,1,1,2,0,0,1,2,7,51,4,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,90.9,1.0,-0.050675,1.2148,-0.5660000000000001,3.277
113,0,0,1,0,0,576397,0,1,1,1,0,0,1,2,7,51,3,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,90.9,13.0,-0.06459166666666666,1.2864666666666669,-2.148,1.53
114,0,0,0,1,0,576397,0,1,0,1,0,0,1,2,7,51,2,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,91.9,6.0,0.8775666666666666,1.216233333333333,0.721,2.02
115,0,0,0,0,1,576397,0,1,0,0,0,0,1,2,7,51,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,93.4,4.0,1.0195166666666668,1.6161333333333332,-0.7120000000000001,2.846
116,0,0,0,1,0,425877,0,1,2,2,0,0,0,2,7,50,6,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,74.3,14.0,-1.0206666666666664,-0.4865666666666666,1.6880000000000002,0.7659999999999999
