,CH,CU,FF,SL,stand_L,home_team,balls,strikes,on_3b,on_2b,on_1b,outs_when_up,inning,at_bat_number,pitch_number,bat_score,fld_score,prev_CH,prev_CU,prev_FF,prev_SL,ball,blocked_ball,called_strike,foul,foul_bunt,foul_tip,hit_into_play,missed_bunt,swinging_strike,swinging_strike_blocked,release_speed,zone,pfx_x,pfx_z,plate_x,plate_z
16832,1,0,0,0,1,0,2,1,0,0,0,2,6,52,4,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,87.5,13.0,-1.570375,1.3638666666666668,-1.118,1.688
16833,1,0,0,0,1,0,1,1,0,0,0,2,6,52,3,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,93.1,12.0,-1.1083416666666663,1.7136,0.93,3.295
16834,0,0,1,0,1,0,0,1,0,0,0,2,6,52,2,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,92.3,5.0,-0.977525,1.8239666666666667,-0.09,2.119
16835,0,0,1,0,1,0,0,0,0,0,0,2,6,52,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
16836,0,0,1,0,0,0,0,1,0,0,0,1,6,51,2,0,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,92.9,6.0,-1.152875,1.6061,0.521,2.509
16837,0,0,1,0,0,0,0,0,0,0,0,1,6,51,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
16838,0,0,0,1,0,0,1,2,0,0,0,0,6,50,4,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,77.5,1.0,0.6980416666666666,-1.1072,-0.748,3.045
16839,0,1,0,0,0,0,1,1,0,0,0,0,6,50,3,0,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,82.9,2.0,0.16364166666666666,0.1756333333333333,-0.195,3.339
16840,0,0,0,1,0,0,1,0,0,0,0,0,6,50,2,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,94.3,11.0,-1.189058333333333,1.5473333333333332,-1.398,2.539
16841,0,0,1,0,0,0,0,0,0,0,0,0,6,50,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
16842,0,1,0,0,1,0,1,2,0,0,0,2,5,41,4,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,79.3,13.0,0.7871083333333333,-0.9395,-0.964,1.599
16843,0,1,0,0,1,0,0,2,0,0,0,2,5,41,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,87.3,13.0,-1.6302166666666669,0.4064,-1.747,1.807
16844,1,0,0,0,1,0,0,1,0,0,0,2,5,41,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,87.2,13.0,-1.9363833333333331,0.7919666666666666,-1.262,2.25
16845,1,0,0,0,1,0,0,0,0,0,0,2,5,41,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
